category_id,meta,category,type,pod
19042000,19,"Shops,Pets",place,s
19043000,19,"Shops,Pharmacies",place,s
19044000,19,"Shops,Photos and Frames",place,s
19045000,19,"Shops,Shopping Centers and Malls",place,s
19046000,19,"Shops,Sporting Goods",place,s
19047000,19,"Shops,Supermarkets and Groceries",place,s
19048000,19,"Shops,Tobacco",place,s
19049000,19,"Shops,Toys",place,s
19050000,19,"Shops,Vintage and Thrift",place,s
19051000,19,"Shops,Warehouses and Wholesale Stores",place,s
19052000,19,"Shops,Wedding and Bridal",place,s
19053000,19,"Shops,Wholesale",place,s
19054000,19,"Shops,Lawn and Garden",place,s
20000000,20,Tax,special,
20001000,20,"Tax,Refund",special,
20002000,20,"Tax,Payment",special,
21000000,21,Transfer,special,
21001000,21,"Transfer,Internal Account Transfer",special,
21002000,21,"Transfer,ACH",special,
21003000,21,"Transfer,Billpay",special,
21004000,21,"Transfer,Check",special,
21005000,21,"Transfer,Credit",special,
21006000,21,"Transfer,Debit",special,
21007000,21,"Transfer,Deposit",special,
21007001,21,"Transfer,Deposit,Check",special,
21007002,21,"Transfer,Deposit,ATM",special,
21008000,21,"Transfer,Keep the Change Savings Program",special,
21009000,21,"Transfer,Payroll",special,
21009001,21,"Transfer,Payroll,Benefits",special,
21010000,21,"Transfer,Third Party",special,
21010001,21,"Transfer,Third Party,Venmo",special,
21010002,21,"Transfer,Third Party,Square Cash",special,
21010003,21,"Transfer,Third Party,Square",special,
21010004,21,"Transfer,Third Party,PayPal",special,
21010005,21,"Transfer,Third Party,Dwolla",special,
21010006,21,"Transfer,Third Party,Coinbase",special,
21010007,21,"Transfer,Third Party,Chase QuickPay",special,
21010008,21,"Transfer,Third Party,Acorns",special,
21010009,21,"Transfer,Third Party,Digit",special,
21010010,21,"Transfer,Third Party,Betterment",special,
21010011,21,"Transfer,Third Party,Plaid",special,
21011000,21,"Transfer,Wire",special,
21012000,21,"Transfer,Withdrawal",special,
21012001,21,"Transfer,Withdrawal,Check",special,
21012002,21,"Transfer,Withdrawal,ATM",special,
21013000,21,"Transfer,Save As You Go",special,
22000000,22,Travel,place,t
22001000,22,"Travel,Airlines and Aviation Services",special,t
22002000,22,"Travel,Airports",place,t
22003000,22,"Travel,Boat",place,t
22004000,22,"Travel,Bus Stations",place,t
22005000,22,"Travel,Car and Truck Rentals",place,t
22006000,22,"Travel,Car Service",place,t
22006001,22,"Travel,Car Service,Ride Share",special,t
22007000,22,"Travel,Charter Buses",place,t
22008000,22,"Travel,Cruises",special,t
22009000,22,"Travel,Gas Stations",place,t
22010000,22,"Travel,Heliports",place,t
22011000,22,"Travel,Limos and Chauffeurs",place,t
22012000,22,"Travel,Lodging",place,t
22012001,22,"Travel,Lodging,Resorts",place,t
22012002,22,"Travel,Lodging,Lodges and Vacation Rentals",place,t
22012003,22,"Travel,Lodging,Hotels and Motels",place,t
22012004,22,"Travel,Lodging,Hostels",place,t
22012005,22,"Travel,Lodging,Cottages and Cabins",place,t
22012006,22,"Travel,Lodging,Bed and Breakfasts",place,t
22013000,22,"Travel,Parking",place,t
22014000,22,"Travel,Public Transportation Services",place,t
22015000,22,"Travel,Rail",place,t
22016000,22,"Travel,Taxi",special,t
22017000,22,"Travel,Tolls and Fees",special,t
22018000,22,"Travel,Transportation Centers",place,t
