category_id,meta,category,type,pod
14002005,14,"Healthcare,Physicians,Plastic Surgeons",place,
14002006,14,"Healthcare,Physicians,Pediatricians",place,
14002007,14,"Healthcare,Physicians,Pathologists",place,
14002008,14,"Healthcare,Physicians,Orthopedic Surgeons",place,
14002009,14,"Healthcare,Physicians,Ophthalmologists",place,
14002010,14,"Healthcare,Physicians,Oncologists",place,
14002011,14,"Healthcare,Physicians,Obstetricians and Gynecologists",place,
14002012,14,"Healthcare,Physicians,Neurologists",place,
14002013,14,"Healthcare,Physicians,Internal Medicine",place,
14002014,14,"Healthcare,Physicians,General Surgery",place,
14002015,14,"Healthcare,Physicians,Gastroenterologists",place,
14002016,14,"Healthcare,Physicians,Family Medicine",place,
14002017,14,"Healthcare,Physicians,Ear, Nose and Throat",place,
14002018,14,"Healthcare,Physicians,Dermatologists",place,
14002019,14,"Healthcare,Physicians,Cardiologists",place,
14002020,14,"Healthcare,Physicians,Anesthesiologists",place,
15000000,15,Interest,special,
15001000,15,"Interest,Interest Earned",special,
15002000,15,"Interest,Interest Charged",special,bf
16000000,16,Payment,special,
16001000,16,"Payment,Credit Card",special,
16002000,16,"Payment,Rent",special,
16003000,16,"Payment,Loan",special,
17000000,17,Recreation,place,
17001000,17,"Recreation,Arts and Entertainment",place,ae
17001001,17,"Recreation,Arts and Entertainment,Theatrical Productions",place,ae
17001002,17,"Recreation,Arts and Entertainment,Symphony and Opera",place,ae
17001003,17,"Recreation,Arts and Entertainment,Sports Venues",place,ae
17001004,17,"Recreation,Arts and Entertainment,Social Clubs",place,ae
17001005,17,"Recreation,Arts and Entertainment,Psychics and Astrologers",place,ae
17001006,17,"Recreation,Arts and Entertainment,Party Centers",place,ae
17001007,17,"Recreation,Arts and Entertainment,Music and Show Venues",place,ae
17001008,17,"Recreation,Arts and Entertainment,Museums",place,ae
17001009,17,"Recreation,Arts and Entertainment,Movie Theatres",place,ae
17001010,17,"Recreation,Arts and Entertainment,Fairgrounds and Rodeos",place,ae
17001011,17,"Recreation,Arts and Entertainment,Entertainment",place,ae
17001012,17,"Recreation,Arts and Entertainment,Dance Halls and Saloons",place,ae
17001013,17,"Recreation,Arts and Entertainment,Circuses and Carnivals",place,ae
17001014,17,"Recreation,Arts and Entertainment,Casinos and Gaming",place,ae
17001015,17,"Recreation,Arts and Entertainment,Bowling",place,ae
17001016,17,"Recreation,Arts and Entertainment,Billiards and Pool",place,ae
17001017,17,"Recreation,Arts and Entertainment,Art Dealers and Galleries",place,ae
17001018,17,"Recreation,Arts and Entertainment,Arcades and Amusement Parks",place,ae
17001019,17,"Recreation,Arts and Entertainment,Aquarium",place,ae
17002000,17,"Recreation,Athletic Fields",place,hr
17003000,17,"Recreation,Baseball",place,hr
17004000,17,"Recreation,Basketball",place,hr
17005000,17,"Recreation,Batting Cages",place,hr
17006000,17,"Recreation,Boating",place,hr
17007000,17,"Recreation,Campgrounds and RV Parks",place,hr
17008000,17,"Recreation,Canoes and Kayaks",place,hr
17009000,17,"Recreation,Combat Sports",place,hr
17010000,17,"Recreation,Cycling",place,hr
17011000,17,"Recreation,Dance",place,hr
17012000,17,"Recreation,Equestrian",place,hr
17013000,17,"Recreation,Football",place,hr
17014000,17,"Recreation,Go Carts",place,hr
17015000,17,"Recreation,Golf",place,hr
17016000,17,"Recreation,Gun Ranges",place,hr
17017000,17,"Recreation,Gymnastics",place,hr
17018000,17,"Recreation,Gyms and Fitness Centers",place,hr
17019000,17,"Recreation,Hiking",place,hr
17020000,17,"Recreation,Hockey",place,hr
17021000,17,"Recreation,Hot Air Balloons",place,hr
17022000,17,"Recreation,Hunting and Fishing",place,hr
17023000,17,"Recreation,Landmarks",place,hr
17023001,17,"Recreation,Landmarks,Monuments and Memorials",place,hr
17023002,17,"Recreation,Landmarks,Historic Sites",place,hr
17023003,17,"Recreation,Landmarks,Gardens",place,hr
17023004,17,"Recreation,Landmarks,Buildings and Structures",place,hr
17024000,17,"Recreation,Miniature Golf",place,hr
17025000,17,"Recreation,Outdoors",place,hr
17025001,17,"Recreation,Outdoors,Rivers",place,hr
17025002,17,"Recreation,Outdoors,Mountains",place,hr
17025003,17,"Recreation,Outdoors,Lakes",place,hr
17025004,17,"Recreation,Outdoors,Forests",place,hr
17025005,17,"Recreation,Outdoors,Beaches",place,hr
17026000,17,"Recreation,Paintball",place,hr
17027000,17,"Recreation,Parks",place,hr
17027001,17,"Recreation,Parks,Playgrounds",place,hr
17027002,17,"Recreation,Parks,Picnic Areas",place,hr
17027003,17,"Recreation,Parks,Natural Parks",place,hr
17028000,17,"Recreation,Personal Trainers",place,hr
17029000,17,"Recreation,Race Tracks",place,hr
17030000,17,"Recreation,Racquet Sports",place,hr
17031000,17,"Recreation,Racquetball",place,hr
17032000,17,"Recreation,Rafting",place,hr
17033000,17,"Recreation,Recreation Centers",place,hr
17034000,17,"Recreation,Rock Climbing",place,hr
17035000,17,"Recreation,Running",place,hr
17036000,17,"Recreation,Scuba Diving",place,hr
17037000,17,"Recreation,Skating",place,hr
17038000,17,"Recreation,Skydiving",place,hr
17039000,17,"Recreation,Snow Sports",place,hr
17040000,17,"Recreation,Soccer",place,hr
17041000,17,"Recreation,Sports and Recreation Camps",place,hr
17042000,17,"Recreation,Sports Clubs",place,hr
17043000,17,"Recreation,Stadiums and Arenas",place,hr
17044000,17,"Recreation,Swimming",place,hr
17045000,17,"Recreation,Tennis",place,hr
17046000,17,"Recreation,Water Sports",place,hr
17047000,17,"Recreation,Yoga and Pilates",place,hr
17048000,17,"Recreation,Zoo",place,hr
18000000,18,Service,place,
18001000,18,"Service,Advertising and Marketing",place,
18001001,18,"Service,Advertising and Marketing,Writing, Copywriting and Technical Writing",place,
18001002,18,"Service,Advertising and Marketing,Search Engine Marketing and Optimization",place,
18001003,18,"Service,Advertising and Marketing,Public Relations",place,
18001004,18,"Service,Advertising and Marketing,Promotional Items",place,
18001005,18,"Service,Advertising and Marketing,Print, TV, Radio and Outdoor Advertising",place,
18001006,18,"Service,Advertising and Marketing,Online Advertising",place,
18001007,18,"Service,Advertising and Marketing,Market Research and Consulting",place,
18001008,18,"Service,Advertising and Marketing,Direct Mail and Email Marketing Services",place,
18001009,18,"Service,Advertising and Marketing,Creative Services",place,
18001010,18,"Service,Advertising and Marketing,Advertising Agencies and Media Buyers",place,
18003000,18,"Service,Art Restoration",place,
18004000,18,"Service,Audiovisual",place,
18005000,18,"Service,Automation and Control Systems",place,
18006000,18,"Service,Automotive",place,
18006001,18,"Service,Automotive,Towing",place,
18006002,18,"Service,Automotive,Motorcycle, Moped and Scooter Repair",place,
18006003,18,"Service,Automotive,Maintenance and Repair",place,
18006004,18,"Service,Automotive,Car Wash and Detail",place,p
18006005,18,"Service,Automotive,Car Appraisers",place,
18006006,18,"Service,Automotive,Auto Transmission",place,
18006007,18,"Service,Automotive,Auto Tires",place,
18006008,18,"Service,Automotive,Auto Smog Check",place,
18006009,18,"Service,Automotive,Auto Oil and Lube",place,
18007000,18,"Service,Business and Strategy Consulting",place,
18008000,18,"Service,Business Services",place,
18008001,18,"Service,Business Services,Printing and Publishing",place,
18009000,18,"Service,Cable",special,ds
18010000,18,"Service,Chemicals and Gasses",place,
18011000,18,"Service,Cleaning",place,p
18012000,18,"Service,Computers",place,
18012001,18,"Service,Computers,Maintenance and Repair",place,
18012002,18,"Service,Computers,Software Development",place,
18013000,18,"Service,Construction",place,
18013001,18,"Service,Construction,Specialty",place,
18013002,18,"Service,Construction,Roofers",place,
18013003,18,"Service,Construction,Painting",place,
18013004,18,"Service,Construction,Masonry",place,
18013005,18,"Service,Construction,Infrastructure",place,
18013006,18,"Service,Construction,Heating, Ventilating and Air Conditioning",place,
18013007,18,"Service,Construction,Electricians",place,
18013008,18,"Service,Construction,Contractors",place,
18013009,18,"Service,Construction,Carpet and Flooring",place,
18013010,18,"Service,Construction,Carpenters",place,
18014000,18,"Service,Credit Counseling and Bankruptcy Services",place,
18015000,18,"Service,Dating and Escort",place,
18016000,18,"Service,Employment Agencies",place,
18017000,18,"Service,Engineering",place,
18018000,18,"Service,Entertainment",place,
18018001,18,"Service,Entertainment,Media",place,
18019000,18,"Service,Events and Event Planning",place,
18020000,18,"Service,Financial",place,
18020001,18,"Service,Financial,Taxes",place,
18020002,18,"Service,Financial,Student Aid and Grants",place,
18020003,18,"Service,Financial,Stock Brokers",place,
18020004,18,"Service,Financial,Loans and Mortgages",place,
18020005,18,"Service,Financial,Holding and Investment Offices",place,
18020006,18,"Service,Financial,Fund Raising",place,
18020007,18,"Service,Financial,Financial Planning and Investments",place,
18020008,18,"Service,Financial,Credit Reporting",place,
18020009,18,"Service,Financial,Collections",place,
18020010,18,"Service,Financial,Check Cashing",place,bf
18020011,18,"Service,Financial,Business Brokers and Franchises",place,
18020012,18,"Service,Financial,Banking and Finance",place,
18020013,18,"Service,Financial,ATMs",place,bf
18020014,18,"Service,Financial,Accounting and Bookkeeping",place,
18021000,18,"Service,Food and Beverage",place,
18021001,18,"Service,Food and Beverage,Distribution",place,
18021002,18,"Service,Food and Beverage,Catering",place,
18022000,18,"Service,Funeral Services",place,
18023000,18,"Service,Geological",place,
18024000,18,"Service,Home Improvement",place,
18024001,18,"Service,Home Improvement,Upholstery",place,
18024002,18,"Service,Home Improvement,Tree Service",place,
18024003,18,"Service,Home Improvement,Swimming Pool Maintenance and Services",place,p
18024004,18,"Service,Home Improvement,Storage",place,
18024005,18,"Service,Home Improvement,Roofers",place,
18024006,18,"Service,Home Improvement,Pools and Spas",place,p
18024007,18,"Service,Home Improvement,Plumbing",place,
18024008,18,"Service,Home Improvement,Pest Control",place,
18024009,18,"Service,Home Improvement,Painting",place,
18024010,18,"Service,Home Improvement,Movers",place,
18024011,18,"Service,Home Improvement,Mobile Homes",place,
18024012,18,"Service,Home Improvement,Lighting Fixtures",place,
18024013,18,"Service,Home Improvement,Landscaping and Gardeners",place,
18024014,18,"Service,Home Improvement,Kitchens",place,
18024015,18,"Service,Home Improvement,Interior Design",place,
18024016,18,"Service,Home Improvement,Housewares",place,
18024017,18,"Service,Home Improvement,Home Inspection Services",place,
18024018,18,"Service,Home Improvement,Home Appliances",place,
18024019,18,"Service,Home Improvement,Heating, Ventilation and Air Conditioning",place,
18024020,18,"Service,Home Improvement,Hardware and Services",place,
18024021,18,"Service,Home Improvement,Fences, Fireplaces and Garage Doors",place,
18024022,18,"Service,Home Improvement,Electricians",place,
18024023,18,"Service,Home Improvement,Doors and Windows",place,
18024024,18,"Service,Home Improvement,Contractors",place,
18024025,18,"Service,Home Improvement,Carpet and Flooring",place,
